,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://plasmodb.org/plasmo/app/record/gene/,0.05,2,-2
,,,"Enter below the search word(s) contained in column C, gene description--current count for AP2 is 27",,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,,,,
ID,plasmoDB hyperlink,gene description,AP2,ref_chrm_version:bpstart-bpstop(strand),calculated ratio,abs of deseq fold,calc fold,baseMean,log2FoldChange,lfcSE,stat,TREND pvalue,publication p-value deseq adj,abs deseq fold,deseq AP2 / WT fold,AP,AP,AP,AP,AP,AP,WT,WT,WT,WT,WT,WT,,,,,,,,,
PBANKA_1212600,PBANKA_1212600,male gamete fusion factor HAP2 ,AP2,PbANKA_12_v3:474993-477688(+) , 1.65 ,2,1.65,54.98175675,0.72512258,0.494849225,1.465340439,0.142828059,0.8028,2,1.65, 29.3 , 80.0 , 113.4 , 26.3 , 112.6 , 49.5 , 46.5 , 51.4 , 68.6 , 5.3 , 42.2 , 34.7 ,,,,,,,,,
PBANKA_1228100,PBANKA_1228100,"AP2 domain transcription factor, putative ",AP2,PbANKA_12_v3:1076110-1082238(+) , 0.71 ,1,-1.41,152.0862179,-0.494488637,0.356404657,-1.38743596,0.165308866,0.8028,1,-1.41, 183.7 , 86.4 , 67.5 , 178.6 , 115.9 , 125.9 , 126.9 , 202.9 , 79.6 , 170.4 , 332.7 , 154.6 ,,,,,,,,,
PBANKA_1356000,PBANKA_1356000,"AP2 domain transcription factor, putative ",AP2,PbANKA_13_v3:2104485-2115638(-) , 1.82 ,2,1.82,16.44091406,0.795200931,0.469234686,1.694676363,0.090136832,0.8028,2,1.74, 17.6 , 29.9 , 20.1 , 24.2 , 18.6 , 16.9 , 1.8 , 10.8 , 26.1 , 15.9 , 7.5 , 7.8 ,,,,,,,,,
PBANKA_1403700,PBANKA_1403700,"AP2 domain transcription factor, putative ",AP2,PbANKA_14_v3:211846-212838(+) , 1.57 ,2,1.57,183.8128922,0.649725285,0.320275564,2.028644573,0.042494505,0.8028,2,1.57, 164.1 , 316.7 , 300.4 , 129.2 , 246.3 , 191.1 , 180.5 , 112.3 , 252.7 , 107.0 , 97.9 , 107.5 ,,,,,,,,,
PBANKA_1415700,PBANKA_1415700,"AP2 domain transcription factor, putative ",AP2,PbANKA_14_v3:635549-643012(+) , 1.47 ,1,1.47,475.7703452,0.557764515,0.264448115,2.109164268,0.034930405,0.8028,1,1.47, 389.8 , 678.9 , 749.3 , 469.7 , 672.5 , 441.8 , 234.2 , 377.4 , 609.2 , 364.7 , 343.3 , 378.6 ,,,,,,,,,
PBANKA_0112100,PBANKA_0112100,"AP2 domain transcription factor, putative ",AP2,PbANKA_01_v3:465529-473341(+) , 0.73 ,1,-1.37,519.4841406,-0.45382419,0.376823027,-1.204343042,0.228457017,0.8066,1,-1.37, 635.0 , 383.5 , 305.5 , 552.7 , 357.3 , 396.8 , 200.2 , 618.1 , 264.2 , 663.3 ," 1,159.3 ", 697.9 ,,,,,,,,,
PBANKA_0521700,PBANKA_0521700,"AP2 domain transcription factor, putative ",AP2,PbANKA_05_v3:804391-812718(+) , 1.24 ,1,1.24,497.145673,0.310959303,0.254964568,1.219617711,0.222609829,0.8066,1,1.24, 356.6 , 644.9 , 630.7 , 421.4 , 708.2 , 541.9 , 341.4 , 271.9 , 489.5 , 463.7 , 472.8 , 622.8 ,,,,,,,,,
PBANKA_1231600,PBANKA_1231600,AP2 domain transcription factor AP2-O2 ,AP2,PbANKA_12_v3:1221072-1227068(-) , 0.72 ,1,-1.39,141.0292081,-0.476248578,0.393427259,-1.210512408,0.226082333,0.8066,1,-1.39, 181.7 , 116.9 , 74.5 , 110.3 , 95.6 , 129.3 , 41.1 , 181.2 , 114.2 , 120.2 , 331.2 , 196.0 ,,,,,,,,,
PBANKA_1363700,PBANKA_1363700,AP2 domain transcription factor AP2-O4 ,AP2,PbANKA_13_v3:2414321-2416012(-) , 2.00 ,2,2.00,4.631174482,0.980936364,0.852826749,1.150217633,0.250054245,0.8096,2,1.97, 1.0 , 9.8 , 15.0 , 6.3 , 1.6 , 3.4 , -   , 1.4 , 6.1 , 1.3 , 7.5 , 2.2 ,,,,,,,,,
PBANKA_0214400,PBANKA_0214400,AP2 domain transcription factor AP2-L ,AP2,PbANKA_02_v3:543241-547059(+) , 0.89 ,1,-1.12,990.4525938,-0.167811667,0.172904461,-0.970545618,0.331774598,0.8361,1,-1.12," 1,086.3 ", 729.0 ," 1,082.0 ", 817.5 ," 1,008.0 ", 873.5 , 985.0 ," 1,115.9 ", 938.9 , 903.7 ," 1,269.2 "," 1,076.5 ",,,,,,,,,
PBANKA_0109500,PBANKA_0109500,"AP2 domain transcription factor, putative ",AP2,PbANKA_01_v3:379499-380595(+) , 1.21 ,1,1.21,800.918262,0.278836125,0.291050093,0.958034825,0.338045198,0.8363,1,1.21, 579.3 ," 1,114.8 ", 940.9 , 565.3 ," 1,110.9 ", 957.8 , 972.4 , 638.4 ," 1,146.0 ", 478.3 , 472.8 , 634.0 ,,,,,,,,,
PBANKA_0939100,PBANKA_0939100,"AP2 domain transcription factor, putative ",AP2,PbANKA_09_v3:1409725-1414708(+) , 1.19 ,1,1.19,939.9960112,0.245962173,0.297855882,0.825775778,0.408931297,0.8544,1,1.19, 544.1 ," 1,178.1 "," 1,545.9 ", 667.2 ," 1,263.3 ", 921.8 , 756.1 , 596.5 ," 1,393.2 ", 832.4 , 694.1 , 887.2 ,,,,,,,,,
PBANKA_1329800,PBANKA_1329800,AP2 domain transcription factor AP2-SP ,AP2,PbANKA_13_v3:1211715-1214546(-) , 1.23 ,1,1.23,34.50252486,0.315441573,0.411525059,0.766518505,0.443367846,0.8576,1,1.24, 44.9 , 32.2 , 57.6 , 21.0 , 47.8 , 24.7 , 64.4 , 21.6 , 40.7 , 13.2 , 25.6 , 20.2 ,,,,,,,,,
PBANKA_1205900,PBANKA_1205900,"AP2 domain transcription factor, putative ",AP2,PbANKA_12_v3:227806-232002(-) , 1.16 ,1,1.16,88.27739526,0.212480836,0.293488587,0.723983301,0.469075987,0.8612,1,1.16, 52.8 , 125.5 , 126.5 , 68.3 , 111.8 , 84.3 , 64.4 , 66.3 , 113.0 , 80.6 , 61.7 , 104.2 ,,,,,,,,,
PBANKA_1313200,PBANKA_1313200,"AP2 domain transcription factor, putative ",AP2,PbANKA_13_v3:570930-572899(+) , 1.45 ,1,1.45,28.22435607,0.526274802,0.774250107,0.679721962,0.496680527,0.8760,1,1.44, 19.5 , 3.5 , 112.0 , 15.8 , 40.5 , 9.0 , 30.4 , 9.5 , 71.7 , 6.6 , 18.1 , 2.2 ,,,,,,,,,
PBANKA_1001800,PBANKA_1001800,AP2 domain transcription factor AP2-SP2 ,AP2,PbANKA_10_v3:118908-129336(-) , 1.15 ,1,1.15,79.71453245,0.187447556,0.29053951,0.64517062,0.518816623,0.8849,1,1.14, 99.6 , 75.4 , 74.0 , 99.8 , 80.2 , 82.1 , 26.8 , 59.5 , 73.5 , 100.4 , 84.3 , 100.8 ,,,,,,,,,
PBANKA_0102900,PBANKA_0102900,"AP2 domain transcription factor, putative ",AP2,PbANKA_01_v3:130777-136563(-) , 1.22 ,1,1.22,31.54329373,0.278001168,0.500786772,0.555128816,0.578806554,0.9002,1,1.21, 24.4 , 21.3 , 81.5 , 37.8 , 29.2 , 13.5 , 8.9 , 25.7 , 51.0 , 14.5 , 48.2 , 22.4 ,,,,,,,,,
PBANKA_1015500,PBANKA_1015500,AP2 domain transcription factor AP2-O3 ,AP2,PbANKA_10_v3:677715-680060(+) , 0.87 ,1,-1.15,18.4734055,-0.214586064,0.471633661,-0.454984624,0.649120301,0.9206,1,-1.16, 16.6 , 13.2 , 14.1 , 37.8 , 8.9 , 12.4 , 7.2 , 16.2 , 12.1 , 37.0 , 27.1 , 19.0 ,,,,,,,,,
